id;assessment_id;question_text;options;correct_option;explanation;topic;sort_order;created_at
c02aa9be-587d-4dba-93ea-b625038f32b8;22415ca0-4b54-4382-80bf-bdc5dea20a89;What is a React component?;"[""A CSS class"",""A reusable UI piece"",""A database table"",""A server route""]";1;Components are reusable, independent UI pieces.;Components;4;2027-09-08 10:05:24.527708+00
341edc0b-2fd7-441b-9d41-932fd513ec8c;22415ca0-4b54-4382-80bf-bdc5dea20a89;How do you pass data to a child component?;"[""State"",""Props"",""Context"",""Refs""]";1;Props pass data from parent to child components.;Props;5;2027-09-08 10:05:24.693352+00
a8276cd8-4ec0-4a37-b721-7de3627f0fce;1d328e83-474a-46fd-89b7-d0ba739b5b7f;What is the time complexity of binary search?;"[""O(n)"",""O(log n)"",""O(n²)"",""O(1)""]";1;Binary search halves the search space each step: O(log n).;Arrays;1;2027-09-08 10:05:24.845268+00
6fb06818-8f85-4f2a-8dcb-fde1fc80c2fd;1d328e83-474a-46fd-89b7-d0ba739b5b7f;Which data structure uses FIFO?;"[""Stack"",""Queue"",""Tree"",""Graph""]";1;Queue follows First-In-First-Out order.;Basics;2;2027-09-08 10:05:25.056366+00
570b56e5-b638-4586-8410-765235c51f70;1d328e83-474a-46fd-89b7-d0ba739b5b7f;What is the height of a balanced BST with n nodes?;"[""n"",""log n"",""n/2"",""√n""]";1;A balanced BST has height O(log n).;Trees;3;2027-09-08 10:05:25.223951+00
e0baddcf-477b-4fb2-b205-93c4580a4739;1d328e83-474a-46fd-89b7-d0ba739b5b7f;Which traversal visits root first?;"[""Inorder"",""Preorder"",""Postorder"",""Level-order""]";1;Preorder traversal visits root, then left, then right.;Trees;4;2027-09-08 10:05:25.387658+00
6fd1c6bc-0c7b-4051-83aa-2cf556740574;1d328e83-474a-46fd-89b7-d0ba739b5b7f;What is a hash collision?;"[""Two keys map to same index"",""A key is lost"",""Table overflows"",""Key not found""]";0;A collision occurs when two keys hash to the same index.;Hashing;5;2027-09-08 10:05:25.563546+00
12b9762a-715f-49af-bd5d-10d3fb046672;a284b504-1b13-4014-8beb-7114f761db6f;What is horizontal scaling?;"[""Adding more RAM"",""Adding more servers"",""Upgrading CPU"",""Adding SSD""]";1;Horizontal scaling adds more machines to handle load.;Scalability;1;2027-09-08 10:05:25.753941+00
e2087386-4fd6-4f02-bada-5de42b4b3598;a284b504-1b13-4014-8beb-7114f761db6f;What does a load balancer do?;"[""Stores data"",""Distributes traffic"",""Encrypts data"",""Caches responses""]";1;A load balancer distributes incoming requests across servers.;Infrastructure;2;2027-09-08 10:05:25.95349+00
d97c4952-998d-4fa7-8749-96a285f53137;a284b504-1b13-4014-8beb-7114f761db6f;What is database sharding?;"[""Replication"",""Splitting data across DBs"",""Caching queries"",""Indexing""]";1;Sharding splits data across multiple database instances.;Databases;3;2027-09-08 10:05:26.108439+00
dd5a0518-9055-407e-bf57-69f876e3120a;a284b504-1b13-4014-8beb-7114f761db6f;What does CDN stand for?;"[""Central Data Node"",""Content Delivery Network"",""Cloud DNS"",""Cached Data Network""]";1;CDN = Content Delivery Network, serves content from edge servers.;Caching;4;2027-09-08 10:05:26.308131+00
4904df4b-c7e5-443c-9906-5d459969b699;a284b504-1b13-4014-8beb-7114f761db6f;What is eventual consistency?;"[""All nodes always in sync"",""Nodes sync over time"",""No consistency"",""Strong consistency""]";1;Eventual consistency means all nodes converge to the same state over time.;Distributed;5;2027-09-08 10:05:26.463823+00
f6532657-6b63-456c-a01c-72c8e364b0bb;2a74b1ce-85bc-4b20-9c75-dc19b157afb4;What does CPU stand for?;"[""Central Processing Unit"",""Central Program Utility"",""Computer Personal Unit"",""Central Processor Unifier""]";0;CPU stands for Central Processing Unit, the primary component that executes instructions.;Hardware;1;2026-03-08 17:54:09.459279+00
b09f3f61-18bc-45b5-922f-737f15da3553;2a74b1ce-85bc-4b20-9c75-dc19b157afb4;Which company developed the Java programming language?;"[""Sun Microsystems"",""Microsoft"",""Apple"",""Google""]";0;Java was originally developed by James Gosling at Sun Microsystems in 1995.;History;2;2026-03-08 17:54:09.459279+00
18818c53-9d30-41e2-a6d0-f1b42be153aa;2a74b1ce-85bc-4b20-9c75-dc19b157afb4;What does HTML stand for?;"[""Hyper Text Markup Language"",""High Tech Modern Language"",""Hyper Transfer Markup Language"",""Home Tool Markup Language""]";0;HTML stands for Hyper Text Markup Language, the standard markup language for web pages.;Web;3;2026-03-08 17:54:09.459279+00
103f9b3d-3cbf-4db4-ad45-9f1a7b89b020;2a74b1ce-85bc-4b20-9c75-dc19b157afb4;Which of the following is NOT an operating system?;"[""Oracle"",""Windows"",""Linux"",""macOS""]";0;Oracle is a database management system, not an operating system.;OS;4;2026-03-08 17:54:09.459279+00
fd60b216-997b-4a46-b409-ff8c8e018540;2a74b1ce-85bc-4b20-9c75-dc19b157afb4;What is the binary representation of the decimal number 10?;"[""1010"",""1100"",""1001"",""1110""]";0;10 in decimal = 1010 in binary (8+2).;Number Systems;5;2026-03-08 17:54:09.459279+00
0988e2f2-1e12-4d0e-9a01-49b44f95a518;55b396fd-6cbf-4a2d-939b-7d3ed4748b79;Which SQL clause is used to filter grouped results?;"[""HAVING"",""WHERE"",""FILTER"",""GROUP BY""]";0;HAVING filters results after GROUP BY, while WHERE filters before grouping.;Aggregation;6;2026-03-08 17:54:09.459279+00
bf5d382e-c0db-4f0c-a069-ec3f841b395b;55b396fd-6cbf-4a2d-939b-7d3ed4748b79;What is a foreign key?;"[""A column that references a primary key in another table"",""The first column in any table"",""A key used for encryption"",""An auto-generated unique ID""]";0;A foreign key creates a link between two tables by referencing the primary key of another table.;Relationships;7;2026-03-08 17:54:09.459279+00
86c2bcf4-d69b-4be3-9155-75398f8c0ca2;55b396fd-6cbf-4a2d-939b-7d3ed4748b79;Which JOIN returns rows that have matching values in both tables?;"[""INNER JOIN"",""LEFT JOIN"",""RIGHT JOIN"",""FULL OUTER JOIN""]";0;INNER JOIN returns only the rows where there is a match in both tables.;Joins;8;2026-03-08 17:54:09.459279+00
50fd3176-f22a-4e96-9fff-f4a2977299de;e341cdb1-ebcd-47df-bcae-a5ffdb141976;What is a Python decorator?;"[""A function that modifies another function"",""A type of comment"",""A loop construct"",""A class attribute""]";0;Decorators wrap a function to extend its behavior without modifying its code.;Functions;6;2026-03-08 17:54:09.459279+00
30a8ba3b-ee6e-4ba5-a5ee-3a884fa083f4;e341cdb1-ebcd-47df-bcae-a5ffdb141976;Which keyword is used to handle exceptions in Python?;"[""try"",""catch"",""handle"",""error""]";0;Python uses try/except blocks for exception handling.;Error Handling;7;2026-03-08 17:54:09.459279+00
c06ea534-d28c-46ce-a949-8d38ceb5f377;e341cdb1-ebcd-47df-bcae-a5ffdb141976;What does the len() function return?;"[""The number of items in an object"",""The last element"",""The memory size"",""The data type""]";0;len() returns the number of items in a sequence or collection.;Built-ins;8;2026-03-08 17:54:09.459279+00
4d01fa52-69b3-4c86-8e42-f9d84c06c021;22415ca0-4b54-4382-80bf-bdc5dea20a89;What is the virtual DOM in React?;"[""A lightweight copy of the actual DOM"",""A CSS framework"",""A testing library"",""A database layer""]";0;The virtual DOM is an in-memory representation that React uses to efficiently update the real DOM.;Core Concepts;6;2026-03-08 17:54:09.459279+00
b45ea96b-4252-443a-9da1-99b7e2431703;22415ca0-4b54-4382-80bf-bdc5dea20a89;Which hook is used for side effects in React?;"[""useEffect"",""useState"",""useRef"",""useMemo""]";0;useEffect is designed for performing side effects like API calls, subscriptions, and DOM manipulation.;Hooks;7;2026-03-08 17:54:09.459279+00
57f9a185-7c82-4299-9e24-4a3bb57ebcfa;1d328e83-474a-46fd-89b7-d0ba739b5b7f;What is the time complexity of binary search?;"[""O(log n)"",""O(n)"",""O(n²)"",""O(1)""]";0;Binary search halves the search space each step, giving O(log n) complexity.;Searching;6;2026-03-08 17:54:09.459279+00
fa2beb51-915d-4303-aac8-f8d7d8cdecc3;1d328e83-474a-46fd-89b7-d0ba739b5b7f;Which data structure uses FIFO ordering?;"[""Queue"",""Stack"",""Tree"",""Graph""]";0;A Queue follows First-In-First-Out ordering.;Linear Structures;7;2026-03-08 17:54:09.459279+00
26bb7ae9-cb64-4d06-85ca-7e86b3544d7e;a284b504-1b13-4014-8beb-7114f761db6f;What is horizontal scaling?;"[""Adding more machines to handle load"",""Upgrading a single machine"",""Adding more RAM"",""Using a faster CPU""]";0;Horizontal scaling (scaling out) adds more machines, while vertical scaling upgrades a single machine.;Scalability;6;2026-03-08 17:54:09.459279+00
48ab2d00-dfb9-4115-ac19-d5d153fb6c2e;a284b504-1b13-4014-8beb-7114f761db6f;What does a load balancer do?;"[""Distributes traffic across multiple servers"",""Stores cached data"",""Encrypts network traffic"",""Monitors database health""]";0;A load balancer distributes incoming requests across multiple servers to ensure no single server is overwhelmed.;Infrastructure;7;2026-03-08 17:54:09.459279+00
6eaf9770-0b10-4718-b279-015195750d59;2a74b1ce-85bc-4b20-9c75-dc19b157afb4;Prime minister of India ?;"[""Narendra Modi"",""Kejriwal"",""Nehru"",""Mahatma Gandhi""]";0;Current primister till date since 2014;;6;2026-03-08 17:54:11.463762+00
4026fdfc-3ad5-4470-9c18-ad5217a5e9a0;b8ac5205-2e49-4e6b-990b-d548b9b9214a;The latest flagship NVIDIA graphics card is the GeForce RTX 5090, part of the Blackwell architecture series released in early 2026;"[""True"",""False""]";0;;;1;2026-04-09 16:19:55.000077+00
ceedbb36-e73b-4535-9fb7-07c1c9ae7640;b8ac5205-2e49-4e6b-990b-d548b9b9214a;Latest release of OnePlus Mobile;"[""Nord 6"",""Nord CE5"",""14R""]";0;;;2;2026-04-09 16:20:29.97005+00
93f80059-340a-4546-91f0-874beabc5d82;b8ac5205-2e49-4e6b-990b-d548b9b9214a;Which component of a Graphics Processing Unit (GPU) is specifically designed to accelerate the process of determining which pixels are visible and which are hidden behind other objects in a 3D scene?;"[""CUDA core"",""Tensor Core"",""ROP(Raster Output Unit)"",""Texture Mapping Unit (TMU)""]";2;"Raster Output Units (ROPs) are responsible for the final stage of the rendering pipeline, which includes depth testing (
-buffering) to determine visibility, blending, and writing the final pixel color to the frame buffer.
CUDA Cores are general-purpose parallel processors.
Tensor Cores are specialized for AI/matrix multiplication.
TMUs handle texture sampling and mapping.";;3;2026-04-09 16:22:03.434724+00
ba3656a5-5574-4e17-b77d-37988faa8708;b8ac5205-2e49-4e6b-990b-d548b9b9214a;Which company is the manufacturer of the GeForce series of graphics cards?;"[""Intel"",""AMD"",""Apple"",""NVIDIA""]";3;;;4;2026-04-09 16:22:51.910069+00
1ba76b60-0aba-419c-8b9c-1314e790739b;b8ac5205-2e49-4e6b-990b-d548b9b9214a;What is the main purpose of a GPU (Graphics Processing Unit)?;"[""To manage internet connection speed"",""To handle complex mathematical calculations for rendering images"",""To store permanent files like photos and documents"",""To power the computer's cooling fans""]";1;;;5;2026-04-09 16:24:09.862267+00
691c5f09-37d8-456b-81fd-a46f769022bf;b8ac5205-2e49-4e6b-990b-d548b9b9214a;Which of these is a common connector used to plug a monitor into a graphics card?;"[""SATA"",""HDMI"",""PCIe"",""DDR5""]";1;;;6;2026-04-09 16:24:46.041552+00
